CHANNEL'S NAME,START DATE,START TIME,DURATION,TITLE,SYNOPSIS INDONESIA,SYNOPSIS ENGLISH
AFC,07/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 2
AFC,07/02/2013,19:00,00:30,Chasing The Yum 2; Ep 3
AFC,07/02/2013,19:30,00:30,Makan Angin 1; Ep 3
AFC,07/02/2013,20:00,00:30,Martin Yan's China; Ep 19
AFC,07/02/2013,20:30,00:30,Great Dinners Of World; Ep 5
AFC,07/02/2013,21:00,01:00,River Cottage Summer's ; Ep 1
AFC,07/02/2013,22:00,00:30,French Food At Home 2; Ep 24
AFC,07/02/2013,22:30,00:30,The Heat; Mark McEwan 2; Ep 11
AFC,07/02/2013,23:00,00:30,Scandinavian Cooking 2; Ep 2
AFC,07/02/2013,23:30,00:30,Food Jammers 2; Ep 6
AFC,08/02/2013,00:00,00:30,Martin Yan's China; Ep 19
AFC,08/02/2013,00:30,00:30,Great Dinners Of World; Ep 5
AFC,08/02/2013,01:00,01:00,River Cottage Summer's ; Ep 1
AFC,08/02/2013,02:00,00:30,Party Guide For Urbanite; Ep 8
AFC,08/02/2013,02:30,00:30,Sedap; Ep 1
AFC,08/02/2013,03:00,00:30,Chasing The Yum 2; Ep 3
AFC,08/02/2013,03:30,00:30,Makan Angin 1; Ep 3
AFC,08/02/2013,04:00,00:30,Cook Like A Chef; Ep 28
AFC,08/02/2013,04:30,00:30,Dosanko Cooking; Ep 3
AFC,08/02/2013,05:00,00:30,Masak Apa 4; Ep 1
AFC,08/02/2013,05:30,00:30,Foodie's Choice; Ep 7
AFC,08/02/2013,06:00,00:30,Ho Chak 8; Ep 9
AFC,08/02/2013,06:30,00:30,Ekspedisi Chef Wan 1; Ep 6
AFC,08/02/2013,07:00,00:30,Daily Cooks; Ep 32
AFC,08/02/2013,07:30,00:30,Taste With Jason 4; Ep 12
AFC,08/02/2013,08:00,00:30,Discover! North Taste; Ep 15
AFC,08/02/2013,08:30,00:30,Yuk Buat Roti; Ep 2
AFC,08/02/2013,09:00,00:30,Life On A Plate 3; Ep 3
AFC,08/02/2013,09:30,00:30,Yummy King; Ep 7
AFC,08/02/2013,10:00,00:30,Martin Yan's China; Ep 19
AFC,08/02/2013,10:30,00:30,Great Dinners Of World; Ep 5
AFC,08/02/2013,11:00,00:30,Good Chef Bad Chef; Ep 6
AFC,08/02/2013,11:30,00:30,French Food At Home 2; Ep 25
AFC,08/02/2013,12:00,00:30,Chasing The Yum 2; Ep 3
AFC,08/02/2013,12:30,00:30,Makan Angin 1; Ep 3
AFC,08/02/2013,13:00,00:30,Masak Apa 4; Ep 1
AFC,08/02/2013,13:30,00:30,Foodie's Choice; Ep 7
AFC,08/02/2013,14:00,00:30,The Cupcake Girls 1; Ep 11
AFC,08/02/2013,14:30,00:30,Best Recipes In World; Ep 6
AFC,08/02/2013,15:00,00:30,Taste With Jason 4; Ep 12
AFC,08/02/2013,15:30,00:30,Chef Series: Da Bing; Ep 38
AFC,08/02/2013,16:00,00:30,Return To River Cottage; Ep 4
AFC,08/02/2013,16:30,00:30,Chef At Home 2; Ep 4
AFC,08/02/2013,17:00,01:00,River Cottage Summer's ; Ep 1
AFC,08/02/2013,18:00,00:30,Good Chef Bad Chef; Ep 6
AFC,08/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 3
AFC,08/02/2013,19:00,01:00,Conviction Kitchen 1; Ep 1
AFC,08/02/2013,20:00,00:30,Food Truck 1; Ep 4
AFC,08/02/2013,20:30,00:30,After Hours With Daniel; Ep 1
AFC,08/02/2013,21:00,01:00,The Opener 2; Ep 6
AFC,08/02/2013,22:00,00:30,French Food At Home 2; Ep 25
AFC,08/02/2013,22:30,00:30,The Heat; Mark McEwan 2; Ep 12
AFC,08/02/2013,23:00,00:30,Scandinavian Cooking; Ep 1
AFC,08/02/2013,23:30,00:30,Food Jammers 2; Ep 7
AFC,09/02/2013,00:00,00:30,Food Truck 1; Ep 4
AFC,09/02/2013,00:30,00:30,After Hours With Daniel; Ep 1
AFC,09/02/2013,01:00,01:00,The Opener 2; Ep 6
AFC,09/02/2013,02:00,00:30,Discover! North Taste; Ep 15
AFC,09/02/2013,02:30,00:30,Yuk Buat Roti; Ep 2
AFC,09/02/2013,03:00,01:00,Conviction Kitchen 1; Ep 1
AFC,09/02/2013,04:00,00:30,Cook Like A Chef; Ep 29
AFC,09/02/2013,04:30,00:30,Dosanko Cooking; Ep 4
AFC,09/02/2013,05:00,01:00,Restaurant Makeover 3; Ep 12
AFC,09/02/2013,06:00,00:30,Rude Boy Food 1; Ep 2
AFC,09/02/2013,06:30,00:30,Chef At Home 4; Ep 11
AFC,09/02/2013,07:00,01:00,Big Fat Reality 1; Ep 1
AFC,09/02/2013,08:00,00:30,Makan Angin 1; Ep 3
AFC,09/02/2013,08:30,00:30,Makan Unlimited; Ep 12
AFC,09/02/2013,09:00,01:00,Fat Man In A White Hat 1; Ep 1
AFC,09/02/2013,10:00,00:30,Chuck's Week Off; Ep 4
AFC,09/02/2013,10:30,00:30,The Boss 2; Ep 8
AFC,09/02/2013,11:00,00:30,Back To The Streets 1; Ep 10
AFC,09/02/2013,11:30,00:30,Meat And Greed; Ep 4
AFC,09/02/2013,12:00,00:30,Food Truck 1; Ep 4
AFC,09/02/2013,12:30,00:30,Chalk And Cheese 1; Ep 6
AFC,09/02/2013,13:00,00:30,Fresh With Anna Olson; Ep 2
AFC,09/02/2013,13:30,00:30,Rude Boy Food 1; Ep 2
AFC,09/02/2013,14:00,00:30,Great Dinners Of World; Ep 5
AFC,09/02/2013,14:30,00:30,Makan Angin 1; Ep 3
AFC,09/02/2013,15:00,00:30,Back To The Streets 1; Ep 10
AFC,09/02/2013,15:30,00:30,The Boss 2; Ep 8
AFC,09/02/2013,16:00,01:00,Iron Chef; Ep 1
AFC,09/02/2013,17:00,01:00,Food Fighters 2; Ep 1
AFC,09/02/2013,18:00,01:00,The Opener 2; Ep 6
AFC,09/02/2013,19:00,00:30,Fresh With Anna Olson; Ep 2
AFC,09/02/2013,19:30,00:30,Martin Yan's China; Ep 19
AFC,09/02/2013,20:00,00:30,Great Dinners Of World; Ep 5
AFC,09/02/2013,20:30,00:30,True Passion: Martin Yan; Ep 8
AFC,09/02/2013,21:00,01:00,Best Wan: Chinese New Year
AFC,09/02/2013,22:00,01:00,Iron Chef; Ep 1
AFC,09/02/2013,23:00,01:00,Big Fat Reality 1; Ep 1
AFC,10/02/2013,00:00,00:30,After Hours With Daniel; Ep 1
AFC,10/02/2013,00:30,00:30,Forever Summer; Nigella; Ep 7
AFC,10/02/2013,01:00,01:00,River Cottage Summer's ; Ep 1
AFC,10/02/2013,02:00,00:30,Food Truck 1; Ep 4
AFC,10/02/2013,02:30,00:30,Makan Unlimited; Ep 12
AFC,10/02/2013,03:00,01:00,Fat Man In A White Hat 1; Ep 1
AFC,10/02/2013,04:00,00:30,French Food At Home 2; Ep 18
AFC,10/02/2013,04:30,00:30,Chef At Home 4; Ep 11
AFC,10/02/2013,05:00,01:00,Restaurant Makeover 3; Ep 13
AFC,10/02/2013,06:00,01:00,Conviction Kitchen 1; Ep 1
AFC,10/02/2013,07:00,00:30,Back To The Streets 1; Ep 10
AFC,10/02/2013,07:30,00:30,Meat And Greed; Ep 4
AFC,10/02/2013,08:00,00:30,Food Truck 1; Ep 4
AFC,10/02/2013,08:30,00:30,After Hours With Daniel; Ep 1
AFC,10/02/2013,09:00,01:00,River Cottage Summer's ; Ep 1
AFC,10/02/2013,10:00,00:30,Forever Summer; Nigella; Ep 7
AFC,10/02/2013,10:30,00:30,Fresh With Anna Olson; Ep 2
AFC,10/02/2013,11:00,01:00,Iron Chef; Ep 1
AFC,10/02/2013,12:00,01:00,Fat Man In A White Hat 1; Ep 1
AFC,10/02/2013,13:00,00:30,The Boss 2; Ep 8
AFC,10/02/2013,13:30,00:30,Chuck's Week Off; Ep 4
AFC,10/02/2013,14:00,01:00,River Cottage Summer's ; Ep 1
AFC,10/02/2013,15:00,00:30,Chinese Restaurant; Ep 1
AFC,10/02/2013,15:30,00:30,Chinese Restaurant; Ep 2
AFC,10/02/2013,16:00,01:00,Taste With Jason 5; Ep 2
AFC,10/02/2013,17:00,01:00,Best Wan: Chinese New Year
AFC,10/02/2013,18:00,00:30,True Passion: Martin Yan; Ep 8
AFC,10/02/2013,18:30,00:30,Chinese Restaurant; Ep 3
AFC,10/02/2013,19:00,00:30,Chinese Restaurant; Ep 4
AFC,10/02/2013,19:30,00:30,Ho Chak 7; Ep 1
AFC,10/02/2013,20:00,01:00,Taste With Jason 5; Ep 2
AFC,10/02/2013,21:00,00:30,Back To The Streets 1; Ep 10
AFC,10/02/2013,21:30,00:30,Chuck's Week Off; Ep 4
AFC,10/02/2013,22:00,01:00,River Cottage Summer's ; Ep 1
AFC,10/02/2013,23:00,00:30,Meat And Greed; Ep 4
AFC,10/02/2013,23:30,00:30,Chalk And Cheese 1; Ep 6
AFC,11/02/2013,00:00,00:30,Fresh With Anna Olson; Ep 2
AFC,11/02/2013,00:30,00:30,Makan Unlimited; Ep 12
AFC,11/02/2013,01:00,01:00,Taste With Jason 5; Ep 2
AFC,11/02/2013,02:00,01:00,Conviction Kitchen 1; Ep 1
AFC,11/02/2013,03:00,01:00,The Opener 2; Ep 6
AFC,11/02/2013,04:00,00:30,Martin Yan's China; Ep 19
AFC,11/02/2013,04:30,00:30,Chef At Home 4; Ep 12
AFC,11/02/2013,05:00,00:30,Star Choice; Ep 11
AFC,11/02/2013,05:30,00:30,Selera Asean 2; Ep 1
AFC,11/02/2013,06:00,00:30,Ho Chak 8; Ep 10
AFC,11/02/2013,06:30,00:30,Ekspedisi Chef Wan 1; Ep 7
AFC,11/02/2013,07:00,00:30,Daily Cooks; Ep 33
AFC,11/02/2013,07:30,00:30,Taste With Jason 4; Ep 13
AFC,11/02/2013,08:00,00:30,Discover! North Taste; Ep 16
AFC,11/02/2013,08:30,00:30,Chef Skuter; Ep 6
AFC,11/02/2013,09:00,00:30,Chinese Restaurant; Ep 1
AFC,11/02/2013,09:30,00:30,Chinese Restaurant; Ep 2
AFC,11/02/2013,10:00,00:30,Food Truck 1; Ep 4
AFC,11/02/2013,10:30,00:30,After Hours With Daniel; Ep 1
AFC,11/02/2013,11:00,01:00,Best Wan: Chinese New Year
AFC,11/02/2013,12:00,01:00,Conviction Kitchen 1; Ep 1
AFC,11/02/2013,13:00,00:30,Star Choice; Ep 11
AFC,11/02/2013,13:30,00:30,Selera Asean 2; Ep 1
AFC,11/02/2013,14:00,01:00,Restaurant Makeover 6; Ep 2
AFC,11/02/2013,15:00,00:30,Chinese Restaurant; Ep 3
AFC,11/02/2013,15:30,00:30,Chinese Restaurant; Ep 4
AFC,11/02/2013,16:00,00:30,True Passion: Martin Yan; Ep 8
AFC,11/02/2013,16:30,00:30,Ho Chak 7; Ep 1
AFC,11/02/2013,17:00,01:00,The Opener 2; Ep 6
AFC,11/02/2013,18:00,00:30,Good Chef Bad Chef; Ep 7
AFC,11/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 4
AFC,11/02/2013,19:00,01:00,Yummy Trail 1; Ep 8
AFC,11/02/2013,20:00,00:30,The Boss 2; Ep 9
AFC,11/02/2013,20:30,00:30,True Passion: Martin Yan; Ep 8
AFC,11/02/2013,21:00,01:00,Taste With Jason 5; Ep 2
AFC,11/02/2013,22:00,01:00,Best Wan: Chinese New Year
AFC,11/02/2013,23:00,00:30,Scandinavian Cooking; Ep 4
AFC,11/02/2013,23:30,00:30,Food Jammers 2; Ep 8
AFC,12/02/2013,00:00,00:30,The Boss 2; Ep 9
AFC,12/02/2013,00:30,00:30,True Passion: Martin Yan; Ep 8
AFC,12/02/2013,01:00,01:00,Taste With Jason 5; Ep 2
AFC,12/02/2013,02:00,00:30,Discover! North Taste; Ep 16
AFC,12/02/2013,02:30,00:30,Chef Skuter; Ep 6
AFC,12/02/2013,03:00,01:00,Yummy Trail 1; Ep 8
AFC,12/02/2013,04:00,00:30,Cook Like A Chef; Ep 30
AFC,12/02/2013,04:30,00:30,Dosanko Cooking; Ep 5
AFC,12/02/2013,05:00,00:30,Sajian; Ep 10
AFC,12/02/2013,05:30,00:30,Sizzling Woks 2; Ep 1
AFC,12/02/2013,06:00,00:30,Ho Chak 8; Ep 11
AFC,12/02/2013,06:30,00:30,Ekspedisi Chef Wan 1; Ep 10
AFC,12/02/2013,07:00,00:30,Daily Cooks; Ep 34
AFC,12/02/2013,07:30,00:30,Taste With Jason 5; Ep 3
AFC,12/02/2013,08:00,00:30,Journey Hokkaido; Ep 7
AFC,12/02/2013,08:30,00:30,Food Chain; Ep 8
AFC,12/02/2013,09:00,00:30,Life On A Plate 3; Ep 4
AFC,12/02/2013,09:30,00:30,Yummy King; Ep 8
AFC,12/02/2013,10:00,00:30,The Boss 2; Ep 9
AFC,12/02/2013,10:30,00:30,True Passion: Martin Yan; Ep 8
AFC,12/02/2013,11:00,00:30,Good Chef Bad Chef; Ep 8
AFC,12/02/2013,11:30,00:30,French Food At Home 2; Ep 26
AFC,12/02/2013,12:00,01:00,Yummy Trail 1; Ep 8
AFC,12/02/2013,13:00,00:30,Sajian; Ep 10
AFC,12/02/2013,13:30,00:30,Sizzling Woks 2; Ep 1
AFC,12/02/2013,14:00,00:30,Chef At Large 5; Ep 13
AFC,12/02/2013,14:30,00:30,Restaurant Adv. Of...; Ep 7
AFC,12/02/2013,15:00,00:30,Taste With Jason 5; Ep 3
AFC,12/02/2013,15:30,00:30,Chef Series: Da Bing; Ep 39
AFC,12/02/2013,16:00,00:30,Return To River Cottage; Ep 5
AFC,12/02/2013,16:30,00:30,Chef At Home 2; Ep 5
AFC,12/02/2013,17:00,01:00,Taste With Jason 5; Ep 2
AFC,12/02/2013,18:00,00:30,Good Chef Bad Chef; Ep 8
AFC,12/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 5
AFC,12/02/2013,19:00,00:30,Rusiyo Rusi 3; Ep 1
AFC,12/02/2013,19:30,00:30,Meat And Greed; Ep 5
AFC,12/02/2013,20:00,00:30,Bake With Anna Olson 2; Ep 1
AFC,12/02/2013,20:30,00:30,Rude Boy Food 1; Ep 3
AFC,12/02/2013,21:00,01:00,Food Fighters 2; Ep 2
AFC,12/02/2013,22:00,00:30,French Food At Home 2; Ep 26
AFC,12/02/2013,22:30,00:30,The Heat; Mark McEwan 2; Ep 13
AFC,12/02/2013,23:00,00:30,Scandinavian Cooking 2; Ep 3
AFC,12/02/2013,23:30,00:30,Food Jammers 2; Ep 9
AFC,13/02/2013,00:00,00:30,Bake With Anna Olson 2; Ep 1
AFC,13/02/2013,00:30,00:30,Rude Boy Food 1; Ep 3
AFC,13/02/2013,01:00,01:00,Food Fighters 2; Ep 2
AFC,13/02/2013,02:00,00:30,Journey Hokkaido; Ep 7
AFC,13/02/2013,02:30,00:30,Food Chain; Ep 8
AFC,13/02/2013,03:00,00:30,Rusiyo Rusi 3; Ep 1
AFC,13/02/2013,03:30,00:30,Meat And Greed; Ep 5
AFC,13/02/2013,04:00,00:30,Cook Like A Chef; Ep 31
AFC,13/02/2013,04:30,00:30,Dosanko Cooking; Ep 6
AFC,13/02/2013,05:00,00:30,Gourmet Hunt; Ep 6
AFC,13/02/2013,05:30,00:30,Gila Makan; Ep 2
AFC,13/02/2013,06:00,00:30,Ho Chak 8; Ep 12
AFC,13/02/2013,06:30,00:30,Ekspedisi Chef Wan 1; Ep 11
AFC,13/02/2013,07:00,00:30,Daily Cooks; Ep 35
AFC,13/02/2013,07:30,00:30,Taste With Jason 5; Ep 4
AFC,13/02/2013,08:00,00:30,Discover! North Taste; Ep 17
AFC,13/02/2013,08:30,00:30,Icip Icip 1; Ep 11
AFC,13/02/2013,09:00,00:30,Life On A Plate 3; Ep 5
AFC,13/02/2013,09:30,00:30,Yummy King; Ep 9
AFC,13/02/2013,10:00,00:30,Bake With Anna Olson 2; Ep 1
AFC,13/02/2013,10:30,00:30,Rude Boy Food 1; Ep 3
AFC,13/02/2013,11:00,00:30,Good Chef Bad Chef; Ep 9
AFC,13/02/2013,11:30,00:30,French Food At Home 3; Ep 1
AFC,13/02/2013,12:00,00:30,Rusiyo Rusi 3; Ep 1
AFC,13/02/2013,12:30,00:30,Meat And Greed; Ep 5
AFC,13/02/2013,13:00,00:30,Gourmet Hunt; Ep 6
AFC,13/02/2013,13:30,00:30,Gila Makan; Ep 2
AFC,13/02/2013,14:00,00:30,Made In Spain 1; Ep 11
AFC,13/02/2013,14:30,00:30,Kylie Kwong; Ep 5
AFC,13/02/2013,15:00,00:30,Taste With Jason 5; Ep 4
AFC,13/02/2013,15:30,00:30,Chef Series: Da Bing; Ep 40
AFC,13/02/2013,16:00,00:30,Return To River Cottage; Ep 6
AFC,13/02/2013,16:30,00:30,Chef At Home 2; Ep 6
AFC,13/02/2013,17:00,01:00,Food Fighters 2; Ep 2
AFC,13/02/2013,18:00,00:30,Good Chef Bad Chef; Ep 9
AFC,13/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 6
AFC,13/02/2013,19:00,00:30,Chalk And Cheese 1; Ep 7
AFC,13/02/2013,19:30,00:30,5 Rencah 5 Rasa 1; Ep 2
AFC,13/02/2013,20:00,00:30,Forever Summer; Nigella; Ep 8
AFC,13/02/2013,20:30,00:30,Chuck's Week Off; Ep 5
AFC,13/02/2013,21:00,01:00,Iron Chef; Ep 15
AFC,13/02/2013,22:00,00:30,French Food At Home 3; Ep 1
AFC,13/02/2013,22:30,00:30,The Heat; Mark McEwan 3; Ep 1
AFC,13/02/2013,23:00,00:30,New Scandinavian Cooking; Ep 6
AFC,13/02/2013,23:30,00:30,Food Jammers 2; Ep 10
AFC,14/02/2013,00:00,00:30,Forever Summer; Nigella; Ep 8
AFC,14/02/2013,00:30,00:30,Chuck's Week Off; Ep 5
AFC,14/02/2013,01:00,01:00,Iron Chef; Ep 15
AFC,14/02/2013,02:00,00:30,Discover! North Taste; Ep 17
AFC,14/02/2013,02:30,00:30,Icip Icip 1; Ep 11
AFC,14/02/2013,03:00,00:30,Chalk And Cheese 1; Ep 7
AFC,14/02/2013,03:30,00:30,5 Rencah 5 Rasa 1; Ep 2
AFC,14/02/2013,04:00,00:30,Cook Like A Chef; Ep 32
AFC,14/02/2013,04:30,00:30,Dosanko Cooking; Ep 7
AFC,14/02/2013,05:00,00:30,Driving Miss Foodie 1; Ep 8
AFC,14/02/2013,05:30,00:30,Selera Asia; Ep 7
AFC,14/02/2013,06:00,00:30,Ho Chak 8; Ep 13
AFC,14/02/2013,06:30,00:30,Ekspedisi Chef Wan 1; Ep 12
AFC,14/02/2013,07:00,00:30,Daily Cooks; Ep 36
AFC,14/02/2013,07:30,00:30,Taste With Jason 5; Ep 5
AFC,14/02/2013,08:00,00:30,Party Guide For Urbanite; Ep 9
AFC,14/02/2013,08:30,00:30,Sedap; Ep 2
AFC,14/02/2013,09:00,00:30,Life On A Plate 3; Ep 6
AFC,14/02/2013,09:30,00:30,Yummy King; Ep 10
AFC,14/02/2013,10:00,00:30,Forever Summer; Nigella; Ep 8
AFC,14/02/2013,10:30,00:30,Chuck's Week Off; Ep 5
AFC,14/02/2013,11:00,00:30,Good Chef Bad Chef; Ep 10
AFC,14/02/2013,11:30,00:30,French Food At Home 3; Ep 2
AFC,14/02/2013,12:00,00:30,Chalk And Cheese 1; Ep 7
AFC,14/02/2013,12:30,00:30,5 Rencah 5 Rasa 1; Ep 2
AFC,14/02/2013,13:00,00:30,Driving Miss Foodie 1; Ep 8
AFC,14/02/2013,13:30,00:30,Selera Asia; Ep 7
AFC,14/02/2013,14:00,00:30,How To Cook Everything; Ep 3
AFC,14/02/2013,14:30,00:30,Avec Eric 2; Ep 2
AFC,14/02/2013,15:00,00:30,Taste With Jason 5; Ep 5
AFC,14/02/2013,15:30,00:30,Chef Series: Da Bing; Ep 41
AFC,14/02/2013,16:00,00:30,River Cottage Forever; Ep 1
AFC,14/02/2013,16:30,00:30,Chef At Home 2; Ep 7
AFC,14/02/2013,17:00,01:00,Iron Chef; Ep 15
AFC,14/02/2013,18:00,00:30,Good Chef Bad Chef; Ep 10
AFC,14/02/2013,18:30,00:30,Fresh With Anna Olson 2; Ep 7
AFC,14/02/2013,19:00,00:30,Chasing The Yum 2; Ep 4
AFC,14/02/2013,19:30,00:30,Makan Angin 1; Ep 4
AFC,14/02/2013,20:00,00:30,Martin Yan's China; Ep 20
